num,title
695,Journal of Modelling in Management
267,Harvard Business Review
278,Human Resource Development Quarterly
348,International Journal of Contemporary Hospitality Management
340,International Journal of Business and Systems Research
298,Industrial Marketing Management
352,International Journal of Data and Network Science
768,Journal of health organization and management
689,Journal of Marketing Management
823,Managerial Auditing Journal
525,"Journal of Asian Finance, Economics and Business"
1030,The International Journal of Management
946,Safety Science
430,International Journal of Organizational Analysis
795,Leadership Quarterly
307,Information Systems Management
630,Journal of Hospitality and Tourism Insights
550,Journal of Cleaner Production
428,International Journal of Operational Research
910,Reference Services Review
570,Journal of Developmental Entrepreneurship
437,International Journal of Productivity and Performance Management
930,Review of Industrial Organization
28,Advanced Science Letters
1059,The Journal of applied psychology
306,Information Sciences
811,Management Decision
705,Journal of Organizational Change Management
579,Journal of Economics and Finance
79,Banks and Bank Systems
407,International Journal of Lean Six Sigma
840,Mediterranean journal of social sciences
193,Entrepreneurial Business and Economics Review
1113,VINE Journal of Information and Knowledge Management Systems
1024,The International Food and Agribusiness Management Review
858,Organization Science
986,Studies in Economics and Finance
190,Engineering Optimization
269,Health Communication
745,Journal of Social Work
506,Journal of Advanced Research in Law and Economics
758,Journal of Transport and Supply Chain Management
358,International Journal of Economics and Business Research
427,International Journal of Occupational Safety and Ergonomics
1082,Tourism Management Perspectives
875,Polish journal of management studies
684,Journal of Marketing
1037,The Journal of Applied Behavioral Science
415,International Journal of Management and Decision Making
784,Journal of the Transportation Research Forum
378,International Journal of Financial Research
326,International Journal of Advertising
700,Journal of Operations Management
287,IEEE Transactions on Engineering Management
704,Journal of Organizational Behavior Management
369,International Journal of Engineering Business Management
1077,Tobacco Control
652,Journal of International Business Studies
1075,Thunderbird International Business Review
1086,Tourism and Hospitality Research
181,Emerging Markets Finance and Trade
1064,The North American Journal of Economics and Finance
1039,The Journal of Business
276,Human Relations
723,Journal of Relationship Marketing
1038,"The Journal of Asian Finance, Economics and Business"
44,Appetite
701,Journal of Operations and Supply Chain Management
738,Journal of Services Marketing
204,Estudios Gerenciales
743,Journal of Social Marketing
333,International Journal of Business Excellence
1009,The Annals of Regional Science
593,Journal of Entrepreneurship and Public Policy
692,Journal of Marketing for Higher Education
510,Journal of Advertising Research
812,Management International Review
367,International Journal of Energy Economics and Policy
34,"African Journal of Science, Technology, Innovation and Development"
538,Journal of Business Venturing Insights
817,Management Science Letters
533,Journal of Business Ethics
1083,Tourism Recreation Research
541,Journal of Business-to-Business Marketing
97,Business Strategy and the Environment
576,Journal of Economic Psychology
397,International Journal of Innovation and Technology Management
901,Qualitative Research in Financial Markets
416,International Journal of Management and Enterprise Development
791,Kybernetes
727,Journal of Retailing and Consumer Services
299,Industrial and Commercial Training
319,International Business Review
196,Entrepreneurship and Sustainability Issues
1029,The International Journal of Logistics Management
703,Journal of Organizational Behavior
67,Asian Journal of Communication
1081,Tourism Management
360,International Journal of Educational Management
78,Baltic Journal of Management
972,Society and Business Review
17,Accounting Organizations and Society
43,Annals of Tourism Research
233,European journal of social sciences
29,Advances in Accounting
547,Journal of Chinese Economic and Foreign Trade Studies
918,Research in World Economy
459,International Journal of Supply Chain Management
843,Nankai Business Review International
217,European Journal of Innovation Management
69,Asian Journal of Technology Innovation
960,Small Group Research
290,IET Networks
443,International Journal of Public Sector Performance Management
1051,The Journal of Modern Project Management
961,"Smart Innovation, Systems and Technologies"
495,Intertax
257,Global Business Review
318,International Business Management
363,International Journal of Electronic Customer Relationship Management
75,Australasian Marketing Journal
618,Journal of General Management
179,Electronic Markets
663,Journal of Islamic Marketing
394,International Journal of Innovation Science
1065,The Qualitative Report
482,International Public Management Journal
1041,The Journal of Entrepreneurship
423,International Journal of Mentoring and Coaching in Education
227,European Management Journal
55,Asia Pacific Journal of Management
527,Journal of Banking and Finance
1122,World Development
70,Asian Review of Accounting
984,Structural Change and Economic Dynamics
84,Brazilian Business Review
321,International Entrepreneurship and Management Journal
920,Resources Conservation and Recycling
591,Journal of Entrepreneurship Education
958,Small Business Economics
1072,The Tqm Journal
713,Journal of Product Innovation Management
21,Accounting in Europe
509,Journal of Advertising
364,International Journal of Electronic Marketing and Retailing
339,International Journal of Business and Society
223,European Journal of Tourism Research
138,Critical Perspectives on Accounting
673,Journal of Management Control
472,International Journal of Tourism Research
1092,Transport Problems
197,Environment and Planning A
513,Journal of Air Transport Management
375,International Journal of Entrepreneurship and Small Business
464,"International Journal of Technological Learning, Innovation and Development"
449,International Journal of Services and Operations Management
878,Problems and Perspectives in Management
421,International Journal of Manpower
815,Management Review Quarterly
664,Journal of Korea Trade
560,Journal of Consumer Psychology
241,Financial Analysts Journal
180,Emerald Emerging Markets Case Studies
1048,The Journal of Investing
585,Journal of Electronic Commerce Research
126,Construction Management and Economics
880,Proceedings of the ACM on Human-Computer Interaction
65,Asian Journal of Business Ethics
990,Sustainability
448,International Journal of Risk Assessment and Management
374,International Journal of Entrepreneurship and Innovation Management
372,International Journal of Entrepreneurial Venturing
353,International Journal of Development Issues
776,Journal of the Asia Pacific Economy
27,Administrative Sciences
357,International Journal of Economics and Business Administration
512,Journal of Agribusiness in Developing and Emerging Economies
523,Journal of Asia-Pacific Business
783,Journal of the Operational Research Society
429,International Journal of Organization Theory and Behavior
281,Human Resource Management International Digest
632,Journal of Hospitality and Tourism Technology
947,Safety and Health at Work
46,Applied Economics Letters
1056,The Journal of Social Sciences Research
463,International Journal of Sustainable Transportation
311,Innovations
532,Journal of Business Economics and Management
153,Digital Journalism
1028,The International Journal of Human Resource Management
572,Journal of Distribution Science
142,Current Issues in Tourism
419,International Journal of Managerial and Financial Accounting
411,International Journal of Logistics Systems and Management
406,International Journal of Law and Management
1047,The Journal of Internet Banking and Commerce
847,OPSEARCH
1091,Transport Policy
859,Organization Studies
238,Family Business Review
653,Journal of International Consumer Marketing
882,Production and Operations Management
195,Entrepreneurship Theory and Practice
156,EDPACS
589,Journal of Engineering Education
749,Journal of Strategy and Management
849,Oeconomia Copernicana
246,Foods
282,Human Resource Management Journal
368,International Journal of Energy Sector Management
303,Industry and Innovation
536,Journal of Business Strategy
610,Journal of Financial Reporting and Accounting
18,Accounting Research Journal
881,Proceedings of the Association for Information Science and Technology
247,Foresight
636,Journal of Industrial Engineering and Management
388,International Journal of Industrial Ergonomics
680,Journal of Management and Governance
619,Journal of Global Fashion Marketing
478,International Journal of Workplace Health Management
511,Journal of African Business
627,Journal of Heuristics
1000,Technological Forecasting and Social Change
403,International Journal of Islamic and Middle Eastern Finance and Management
835,Measuring Business Excellence
542,Journal of Career Assessment
49,Applied ergonomics
1022,The Geneva Papers on Risk and Insurance - Issues and Practice
390,International Journal of Information Science and Management
359,International Journal of Economics and Financial Issues
546,Journal of China Tourism Research
995,Systemic Practice and Action Research
433,International Journal of Procurement Management
1049,The Journal of Men's Studies
892,Public Management Review
799,Leisure Studies
134,Corporate Ownership and Control
150,Development Southern Africa
105,Central European Business review
1052,The Journal of Portfolio Management
123,Communications
373,International Journal of Entrepreneurship
337,International Journal of Business and Emerging Markets
148,Decision Science Letters
111,China journal of accounting research
12,Accident; analysis and prevention
861,Organizational Dynamics
792,Land Use Policy
473,International Journal of Trade and Global Markets
1068,The Service Industries Journal
1104,Transportation Research Part E: Logistics and Transportation Review
1087,Tourism hospitality management
830,Marketing Letters
592,Journal of Entrepreneurship and Innovation in Emerging Economies
535,Journal of Business Research
558,Journal of Consumer Marketing
931,Review of Managerial Science
453,International Journal of Social Economics
780,Journal of the Knowledge Economy
86,British Food Journal
10,Academy of Marketing Studies Journal
109,China Finance Review International
933,Review of Public Personnel Administration
824,Managerial Finance
344,International Journal of Communication
283,Human Resource Management Review
507,Journal of Advanced Transportation
338,International Journal of Business and Globalisation
435,International Journal of Production Economics
228,European Planning Studies
41,Anatolia
504,Journal of Accounting and Public Policy
168,Economics Bulletin
879,Problems and perspectives in management
50,Arab Law Quarterly
725,Journal of Research in Marketing and Entrepreneurship
980,Strategic Direction
1057,The Journal of Technology Transfer
1099,Transportation Research Part A-policy and Practice
698,Journal of Occupational and Organizational Psychology
1018,The Engineering Economics
608,Journal of Financial Management of Property and Construction
371,International Journal of Enterprise Network Management
160,Ecological Economics
682,Journal of Managerial Psychology
133,Corporate Governance
1126,World Sustainability Series
949,Scandinavian Journal of Management
691,Journal of Marketing Theory and Practice
72,Auditing
577,Journal of Economic Studies
1003,Technology in Society
730,Journal of Risk Research
1095,Transportation Journal
144,Current Psychology
297,Industrial Engineering and Management Systems
395,International Journal of Innovation and Learning
503,Journal of Accounting and Economics
537,Journal of Business Venturing
332,International Journal of Business Environment
438,International Journal of Productivity and Quality Management
198,"Environment, Development and Sustainability"
113,Chinese Management Studies
101,California Management Review
211,European Business Review
176,Education and Information Technologies
614,Journal of Financial Stability
226,European Journal of Work and Organizational Psychology
828,Marine Policy
393,International Journal of Innovation Management
987,Studies in Higher Education
220,European Journal of Marketing
426,International Journal of Nonprofit and Voluntary Sector Marketing
261,Global Journal of Flexible Systems Management
58,Asia-Pacific Journal of Financial Studies
1012,The Australian journal of emergency management
184,Employee Relations
951,Science and Public Policy
674,Journal of Management Development
752,Journal of Sustainable Tourism
785,Journalism
382,International Journal of Geographical Information Science
963,Social Enterprise Journal
1002,Technology Innovation Management Review
769,Journal of innovation management
508,Journal of Advances in Management Research
436,International Journal of Production Research
365,International Journal of Emergency Management
95,Business Research
320,International Education Studies
964,Social Indicators Research
110,China Journal of Accounting Studies
988,Supply Chain Management
586,Journal of Emerging Market Finance
911,Regional Studies
71,Asian Social Science
836,Media and Communication
5,Academy of Entrepreneurship Journal
641,Journal of Information Systems
708,Journal of Personal Selling and Sales Management
16,Accounting Horizons
1103,Transportation Research Part D: Transport and Environment
955,Serbian Journal of Management
45,Applied Economics
568,Journal of Decision Systems
56,Asia Pacific Journal of Marketing and Logistics
999,Team Performance Management
696,Journal of Money Laundering Control
744,Journal of Social Sciences
635,Journal of Industrial Ecology
971,Social science research
203,Ergonomics
685,Journal of Marketing Analytics
1020,The European Journal of Finance
384,International Journal of Hospitality Management
820,Management and Marketing
329,International Journal of Bank Marketing
611,Journal of Financial Research
177,Educational Research Review
934,Review of Quantitative Finance and Accounting
355,International Journal of Disclosure and Governance
434,International Journal of Product Development
1106,Transportmetrica A: Transport Science
869,Personnel Review
1071,The TQM Journal
500,Jordan Journal of Business Administration
832,Marketing Theory
1035,The Journal of Agricultural Education and Extension
154,Disasters
531,Journal of Business Economics
889,Psychology Research and Behavior Management
891,Public Administration Review
171,"Economics, Management, and Financial Markets"
13,Accounting
913,Research Journal of Business Management
978,Sport Management Review
699,"Journal of Open Innovation: Technology, Market, and Complexity"
439,International Journal of Project Management
362,International Journal of Electronic Commerce
104,Case studies on transport policy
687,Journal of Marketing Communications
926,Review of Behavioral Finance
370,International Journal of Engineering Education
143,Current Opinion in Environmental Sustainability
1100,Transportation Research Part A: Policy and Practice
757,Journal of Transport Geography
467,International Journal of Technology Management
722,Journal of Quality in Maintenance Engineering
615,Journal of Financial and Quantitative Analysis
602,Journal of Family Business Management
336,International Journal of Business Performance Management
580,Journal of Ecotourism
773,Journal of small business and entrepreneurship
42,Annals of Operations Research
317,International Advances in Economic Research
380,International Journal of Forecasting
803,Library Review
714,Journal of Promotion Management
917,Research in Transportation Economics
264,Governance
571,"Journal of Direct, Data and Digital Marketing Practice"
565,Journal of Creating Value
1007,The Accounting Review
922,"Resources, Conservation and Recycling"
658,Journal of International Marketing
561,Journal of Consumer Research
1096,Transportation Letters
637,Journal of Industrial Relations
136,Corporate Social Responsibility and Environmental Management
243,Financial Management
732,Journal of Scheduling
1031,The International Journal of Management Education
522,Journal of Asia Business Studies
774,Journal of the Academy of Marketing Science
252,Gadjah Mada International Journal of Business
770,Journal of international business education
760,Journal of Travel Research
660,Journal of International Studies
553,Journal of Communication Management
779,Journal of the International Academy of Case Studies
909,Records Management Journal
1079,Tourism Economics
1069,The Singapore Economic Review
216,European Journal of Information Systems
562,Journal of Corporate Finance
324,International Journal of Accounting and Information Management
766,Journal of emergency management
747,Journal of Statistical Computation and Simulation
4,Academy of Accounting and Financial Studies Journal
1015,The College Mathematics Journal
1,ABAC Journal
966,Social Responsibility Journal
413,International Journal of Management Science and Engineering Management
51,Architectural Engineering and Design Management
418,International Journal of Managerial Finance
810,Management Communication Quarterly
398,International Journal of Integrated Supply Management
833,Mass Communication and Society
230,European Research on Management and Business Economics
742,Journal of Social Entrepreneurship
549,Journal of Civil Engineering and Management
1063,The Multinational Business Review
761,Journal of Vacation Marketing
178,Electronic Commerce Research
623,Journal of Global Responsibility
643,Journal of Information Technology Teaching Cases
37,Air and Space Law
825,Managerial and Decision Economics
845,Nonprofit and Voluntary Sector Quarterly
569,Journal of Destination Marketing and Management
491,International journal of environmental and science education
315,"Interdisciplinary Journal of Information, Knowledge, and Management"
1053,The Journal of Private Equity
671,Journal of Management
215,European Journal of Industrial Relations
208,European Accounting Review
342,International Journal of Clothing Science and Technology
798,Learned Publishing
873,Place Branding and Public Diplomacy
932,Review of Pacific Basin Financial Markets and Policies
609,Journal of Financial Regulation and Compliance
724,Journal of Research in Interactive Marketing
844,New Library World
493,International journal of health care quality assurance
249,Frontiers in Psychology
941,SAGE Open
883,Profesional De La Informacion
814,Management Research Review
420,International Journal of Managing Projects in Business
728,Journal of Revenue and Pricing Management
543,Journal of Career Development
77,Australian Journal of Management
688,Journal of Marketing Education
159,Eastern-European Journal of Enterprise Technologies
76,Australian Accounting Review
48,Applied Psychology
772,Journal of outdoor recreation and tourism
476,International Journal of Wine Business Research
300,Industrial and Corporate Change
231,European Sport Management Quarterly
800,Library Hi Tech News
754,Journal of Tourism Futures
952,Science and innovation
603,Journal of Family Business Strategy
229,European Research Studies Journal
1127,Worldwide Hospitality and Tourism Themes
1006,The Academy of Management Annals
490,International journal of disaster risk reduction
1019,The Engineering Economist
214,European Journal of Engineering Education
235,Event Management
66,Asian Journal of Business and Accounting
886,Project Management Journal
325,"International Journal of Accounting, Auditing and Performance Evaluation"
335,International Journal of Business Innovation and Research
794,Leadership
968,Social Sciences
1050,"The Journal of Mental Health Training, Education and Practice"
929,Review of Financial Economics
102,Career Development International
877,Prabandhan: Indian Journal of Management
379,International Journal of Financial Studies
376,International Journal of Event and Festival Management
899,Publishing Research Quarterly
386,International Journal of Human Resources Development and Management
852,Operations Management Research
667,Journal of Librarianship and Information Science
330,International Journal of Business Communication
739,Journal of Small Business Management
191,"Engineering, Construction and Architectural Management"
906,Quantitative Finance
224,European Journal of Training and Development
1054,The Journal of Real Estate Finance and Economics
455,International Journal of Sport Management and Marketing
1090,Transnational Corporations Review
642,Journal of Information Technology
750,Journal of Supply Chain Management
1004,Technovation
445,International Journal of Quality and Service Sciences
347,International Journal of Consumer Studies
942,Sa Journal of Human Resource Management
775,Journal of the Acoustical Society of America
530,Journal of Brand Management
1084,Tourism Review
822,Management and Production Engineering Review
381,International Journal of Gender and Entrepreneurship
1016,The Design Journal
1107,Transylvanian Review
2,AMS Review
88,Building and Environment
992,Sustainability Science
683,Journal of Manufacturing Technology Management
107,China Agricultural Economic Review
200,Environmental Impact Assessment Review
597,Journal of Environmental Planning and Management
895,Public Personnel Management
410,International Journal of Logistics Research and Applications
284,Human systems management
690,Journal of Marketing Research
706,"Journal of Organizational Culture, Communications and Conflict"
92,Business Horizons
3,Academic Journal of Interdisciplinary Studies
39,American Book Review
485,International Review of Management and Marketing
694,Journal of Mixed Methods Research
948,Scandinavian Journal of Hospitality and Tourism
904,Quality and Reliability Engineering International
460,International Journal of Sustainability in Higher Education
540,Journal of Business and Psychology
366,International Journal of Emerging Markets
470,International Journal of Tourism Cities
806,Long Range Planning
9,Academy of Management Review
944,Safer Communities
189,Engineering Management in Production and Services
734,Journal of Security and Sustainability Issues
280,Human Resource Management
897,Public Relations Review
555,Journal of Consumer Affairs
313,Intangible Capital
552,Journal of Communication
